,0
0,1
1,0
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,0
183,1
184,0
185,1
186,0
187,0
188,1
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,1
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,1
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,0
280,1
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,1
292,0
293,0
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,0
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,1
394,1
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,1
421,0
422,0
423,1
424,0
425,0
426,0
427,1
428,1
429,0
430,0
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,0
476,1
477,0
478,0
479,1
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,1
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,0
508,1
509,1
510,0
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,1
530,1
531,0
532,1
533,0
534,0
535,1
536,1
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,1
606,1
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,1
615,0
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,1
627,0
628,1
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,0
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,1
653,0
654,1
655,1
656,0
657,1
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,0
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,1
695,1
696,1
697,1
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,1
707,0
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,1
716,1
717,1
718,0
719,1
720,0
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,0
747,1
748,0
749,0
750,1
751,0
752,1
753,1
754,0
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,0
776,1
777,1
778,1
779,0
780,1
781,0
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,0
790,0
791,1
792,1
793,0
794,1
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,0
808,1
809,0
810,1
811,1
812,1
813,0
814,0
815,0
816,1
817,1
818,0
819,1
820,0
821,0
822,0
823,1
824,0
825,1
826,0
827,1
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,0
836,1
837,1
838,1
839,0
840,0
841,1
842,1
843,1
844,0
845,1
846,1
847,0
848,1
849,0
850,1
851,0
852,1
853,1
854,0
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,1
863,1
864,1
865,0
866,1
867,0
868,1
869,0
870,1
871,0
872,1
873,0
874,0
875,0
876,1
877,1
878,0
879,0
880,1
881,0
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,0
890,1
891,1
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,0
900,1
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,0
909,0
910,0
911,1
912,1
913,1
914,0
915,0
916,1
917,1
918,1
919,1
920,1
921,0
922,1
923,0
924,1
925,0
926,0
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,1
936,1
937,1
938,0
939,1
940,0
941,0
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,0
950,1
951,0
952,0
953,0
954,1
955,1
956,1
957,1
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,0
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,0
979,1
980,1
981,1
982,1
983,1
984,1
985,0
986,1
987,0
988,1
989,1
990,1
991,1
992,0
993,0
994,0
995,0
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,0
1004,0
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,1
1019,1
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,0
1052,0
1053,1
1054,1
1055,1
1056,0
1057,0
1058,1
1059,1
1060,1
1061,1
1062,1
1063,0
1064,0
1065,1
1066,0
1067,1
1068,0
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,0
1077,1
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,1
1088,0
1089,1
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,1
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,1
1104,1
1105,1
1106,0
1107,0
1108,1
1109,1
1110,0
1111,1
1112,0
1113,0
1114,1
1115,1
1116,0
1117,1
1118,0
1119,1
1120,1
1121,0
1122,0
1123,1
1124,0
1125,0
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,0
1145,0
1146,0
1147,0
1148,1
1149,1
1150,1
1151,1
1152,0
1153,0
1154,0
1155,0
1156,1
1157,1
1158,0
1159,0
1160,1
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,0
1168,1
1169,0
1170,0
1171,1
1172,1
1173,1
1174,0
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,1
1187,1
1188,0
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,1
1203,1
1204,0
1205,1
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,1
1225,0
1226,0
1227,0
1228,1
1229,0
1230,1
